"4,769230769","4,362637363",,91,cubbitt,,překlad ok,celkem vět,podíl ok
,,,"RDF triples:  ['A.S._Gubbio_1910 | ground | Italy', 'A.S._Gubbio_1910 | numberOfMembers | 5300']",,,,,
,,,Lexicalisation: A.S. Gubbio 1910 has 5300 members and their ground is located in Italy.,,,,,
5,5,a,Translation:  A.S. Gubbio 1910 má 5300 členů a jejich území se nachází v Itálii.,,,,,
,,,Lexicalisation: A.S. Gubbio 1910 in Italy has 5300 members.,,,,,
5,5,a,Translation:  A.S. Gubbio 1910 v Itálii má 5300 členů.,,,,,
,,,"Lexicalisation: The ground of A.S. Gubbio 1910 is located in Italy, the team have 5300 members.",,,,,
5,3,c,"Translation:  Půda A.S. Gubbio 1910 se nachází v Itálii, tým má 5300 členů.",,,,,
,,,"RDF triples:  ['A.C._Cesena | league | Serie_B', 'Serie_B | champions | Carpi_F.C._1909', 'A.C._Cesena | ground | Italy']",,,,,
,,,Lexicalisation: AC Cesena play in the Serie B league which has been won by Carpi F.C. 1909 in the past. Their ground is located in Italy.,,,,,
5,5,a,"Translation:  AC Cesena hraje ligu Serie B, kterou v minulosti vyhrál Carpi F.C. 1909. Jejich sídlo se nachází v Itálii.",,,,,
,,,Lexicalisation: A.C. Cesena's ground is located in Italy and they are part of the Serie B league which was previously won by Carpi FC 1909.,,,,,
5,3,c,"Translation:  Pozemky A.C. Ceseny se nacházejí v Itálii a jsou součástí ligy Serie B, kterou předtím vyhrál Carpi FC 1909.",,,,,
,,,"Lexicalisation: AC Cesena, whose ground is located in Italy, are in the Serie B league. Carpi FC 1909 are previous champions of Serie B.",,,,,
5,4,c,"Translation:  AC Cesena, jejíž území se nachází v Itálii, patří do ligy Serie B. Carpi FC 1909 jsou předchozími šampiony Serie B.",,,,,
,,,"RDF triples:  ['AZ_Alkmaar | manager | John_van_den_Brom', 'John_van_den_Brom | club | AFC_Ajax', 'John_van_den_Brom | club | Vitesse_Arnhem', 'AZ_Alkmaar | owner | Max_Huiberts']",,,,,
,,,Lexicalisation: John van den Brom is in Vitesse Arnhem and plays for AFC Ajax. He has also been manager for AZ Alkmaar which is owned by Max Huiberts.,,,,,
5,4,c,"Translation:  John van den Brom hraje ve Vitesse Arnhem a hraje za AFC Ajax. Byl také manažerem společnosti AZ Alkmaar, kterou vlastní Max Huiberts.",,,,,
,,,Lexicalisation: John van den Brom plays for Vitesse Arnhem. He also plays for AFC Ajax and manages AZ Alkmaar which is owned by Max Huiberts.,,,,,
5,5,a,"Translation:  John van den Brom hraje za Vitesse Arnhem. Hraje také za AFC Ajax a řídí AZ Alkmaar, který vlastní Max Huiberts.",,,,,
,,,"Lexicalisation: The manager of AZ Alkmaar, owned by Max Huiberts, is John van den Brom who plays for AFC Ajax and Vitesse Arnhem.",,,,,
5,5,a,"Translation:  Manažerem společnosti AZ Alkmaar, kterou vlastní Max Huiberts, je John van den Brom, který hraje za AFC Ajax a Vitesse Arnhem.",,,,,
,,,RDF triples:  ['Aaron_Bertram | associatedBand/associatedMusicalArtist | Suburban_Legends'],,,,,
,,,Lexicalisation: Aaron Bertram plays for the Suburban Legends band.,,,,,
5,4,c,Translation:  Aaron Bertram hraje za kapelu Suburban Legends.,,,,,
,,,"RDF triples:  ['Abraham_A._Ribicoff | spouse | Casey_Ribicoff', 'Abraham_A._Ribicoff | deathPlace | United_States', 'Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut', 'Abraham_A._Ribicoff | nationality | American', 'United_States | ethnicGroup | African_Americans']",,,,,
,,,"Lexicalisation: Abraham A Ribicoff was born in New Britain, Connecticut and died in his native land. He was married to Casey Ribicoff and African Americans are among the ethnic groups in the country.",,,,,
5,5,a,Translation:  Abraham A. Ribicoff se narodil v Nové Británii v Connecticutu a zemřel ve své rodné zemi. Byl ženatý s Casey Ribicoffovou a Afroameričané patří mezi etnické skupiny v zemi.,,,,,
,,,"Lexicalisation: Abraham A Ribicoff is from the United States, born in New Britain, Connecticut. Casey Ribicoff was the spouse of Abraham A. Ribicoff, who died in the United States, the country where one of the ethnic groups is, African Americans.",,,,,
5,4,c,"Translation:  Abraham A Ribicoff pochází ze Spojených států, narodil se v Nové Británii v Connecticutu. Casey Ribicoff byl manžel Abrahama A. Ribicoffa, který zemřel ve Spojených státech, zemi, kde je jedna z etnických skupin, Afroameričané.",,,,,
,,,"Lexicalisation: African Americans are an ethnic group of the United States, where one of the nationals is Abraham A. Ribicoff. He, born in New Britain, Connecticut, was married to Casey Ribicoff, and died in the United States.",,,,,
5,5,a,"Translation:  Afroameričané jsou etnickou skupinou Spojených států, kde jedním ze státních příslušníků je Abraham A. Ribicoff. Narodil se v Nové Británii v Connecticutu, oženil se s Casey Ribicoffovou a zemřel ve Spojených státech.",,,,,
,,,"RDF triples:  ['Acharya_Institute_of_Technology | city | Bangalore', 'Acharya_Institute_of_Technology | established | 2000', 'Acharya_Institute_of_Technology | country | ""India""', 'Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""', 'Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University']",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology's campus in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, India is affiliated to the Visvesvaraya Technological University. It was established in 2000.",,,,,
5,3,c,"Translation:  Kampus Acharya Institute of Technology v Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, Indie je přidružena k Visvesvaraya Technological University. Byla založena v roce 2000.",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology in India which is affiliated with the Visvesvaraya Technological University was established in 2000. The campus is located at In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,,
5,4,c,"Translation:  Acharya Institute of Technology v Indii, který je přidružen k Visvesvaraya Technological University, byl založen v roce 2000. Areál se nachází na adrese In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology was established in 2000. It is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. It is affiliated with the Visvesvaraya Technological University.",,,,,
5,4,c,"Translation:  Acharya Institute of Technology byl založen v roce 2000. Nachází se v Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, Indie. Je přidružena k Technologické univerzitě Visvesvaraya.",,,,,
,,,"RDF triples:  ['Delta_II | launchSite | Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_17', 'Delta_II | launchSite | Cape_Canaveral_Air_Force_Station', 'Antares_(rocket) | comparable | Delta_II', 'Delta_II | countryOrigin | United_States']",,,,,
,,,"Lexicalisation: The Delta II, launched at Cape Canaveral Air Force Station Space Launch Complex 17, originates from the United States and is comparable to the Antares rocket.",,,,,
5,4,c,"Translation:  Delta II, vypuštěná na vesmírném odpalovacím komplexu 17 na mysu Canaveral Air Force Station, pochází ze Spojených států a je srovnatelná s raketou Antares.",,,,,
,,,Lexicalisation: The Delta II was launched at the Cape Canaveral Air Force Station at Space Launch Complex 17. The Delta II is from the United States and the rocket Antares is comparable to it.,,,,,
5,4,c,Translation:  Delta II byla vypuštěna na letecké základně Cape Canaveral v kosmonautickém odpalovacím komplexu 17. Delta II je ze Spojených států a raketa Antares je s ní srovnatelná.,,,,,
,,,"Lexicalisation: The Delta II originated in the United States and was launched at the Cape Canaveral Air Force Station, at Cape Canaveral Air Force Station Space Launch Complex 17. The rocket Antares is comparable to Delta II.",,,,,
5,4,c,"Translation:  Delta II vznikla ve Spojených státech a byla vypuštěna na základně Cape Canaveral Air Force Station, na Mysu Canaveral Air Force Station Space Launch Complex 17. Raketa Antares je srovnatelná s Deltou II.",,,,,
,,,RDF triples:  ['ALV_X-1 | diameter | 1.524 (metres)'],,,,,
,,,Lexicalisation: The diameter of the ALV X-1 is 1.524 metres.,,,,,
4,5,c,Translation:  Průměr ALV X-1 je 1.524 metrů.,,,,,
,,,Lexicalisation: The ALV X-1 has a diameter of 1.524 metres.,,,,,
5,5,a,"Translation:  ALV X-1 má průměr 1,524 metru.",,,,,
,,,Lexicalisation: The ALV X-1 diameter is 1.524 metres.,,,,,
4,5,c,Translation:  Průměr ALV X-1 je 1.524 metrů.,,,,,
,,,"RDF triples:  ['Adam_McQuaid | birthPlace | Charlottetown', 'Adam_McQuaid | birthDate | 1986-10-12', 'Adam_McQuaid | weight | 94.8024 (kilograms)', 'Adam_McQuaid | birthYear | 1986']",,,,,
,,,"Lexicalisation: Born in Charlottetown on Oct 12, 1986, Adam McQuaid weighs 94.8024 kilos.",,,,,
5,4,c,"Translation:  Narozen v Charlottetownu 12. října 1986, Adam McQuaid váží 94,8024 kilo.",,,,,
,,,"Lexicalisation: Adam McQuaid was born on the 12th of October 1986, in Charlottetown He now weighs 94.8024 kilograms.",,,,,
5,5,a,"Translation:  Adam McQuaid se narodil 12. října 1986 v Charlottetownu Nyní váží 94,8024 kilogramů.",,,,,
,,,Lexicalisation: Adam McQuaid was born in Charlottetown on 12th October 1986 and wieghs 94.8024kg.,,,,,
5,5,a,"Translation:  Adam McQuaid se narodil v Charlottetownu 12. října 1986 a má 94,8024kg.",,,,,
,,,"RDF triples:  ['1_Decembrie_1918_University | latinName | ""Universitas Apulensis""', '1_Decembrie_1918_University | country | Romania']",,,,,
,,,Lexicalisation: The 1 Decembrie 1918 University of Romania has the latin name Universitas Apulensis.,,,,,
3,4,c,Translation:  Univerzita Rumunska z 1. prosince 1918 nese latinský název Universitas Apulensis.,,,,,
,,,Lexicalisation: 1 Decembrie 1918 University 's latin name is Universitas Apulensis and is located in Romania.,,,,,
3,3,c,Translation:  1 Decembrie 1918 Univerzitní latinský název je Universitas Apulensis a nachází se v Rumunsku.,,,,,
,,,"RDF triples:  ['Trane | foundingDate | 1913-01-01', 'Trane | foundationPlace | La_Crosse,_Wisconsin', 'Trane | numberOfEmployees | 29000']",,,,,
,,,"Lexicalisation: Trane was founded in 1913-01-01 in La Crosse, Wisconsin and now employs over 29000 people.",,,,,
5,3,c,Translation:  Trane byl založen v letech 1913-01-01 v La Crosse ve Wisconsinu a nyní zaměstnává přes 29000 lidí.,,,,,
,,,"Lexicalisation: Trane has 29,000 employees and was founded in La Crosse, Wisconsin on 1913-01-01.",,,,,
5,3,c,Translation:  Trane má 29 000 zaměstnanců a byla založena v La Crosse ve Wisconsinu v letech 1913-01-01.,,,,,
,,,"Lexicalisation: Trane was founded on January 1, 1913 in La Crosse, Wisconsin with 29,000 current employees.",,,,,
5,4,c,Translation:  Trane byl založen 1. ledna 1913 v La Crosse ve Wisconsinu s 29 000 současnými zaměstnanci.,,,,,
,,,"RDF triples:  ['Bolt_(comicsCharacter) | creator | Ernie_Colón', 'Bolt_(comicsCharacter) | creator | Dan_Mishkin']",,,,,
,,,Lexicalisation: The character Bolt was created by Ernie Colon and Dan Mishkin.,,,,,
4,5,c,Translation:  Postavu Bolta vytvořili Ernie Colon a Dan Miškin.,,,,,
,,,Lexicalisation: Ernie Colón and Dan Mishkin are among the creators of the comic character Bolt.,,,,,
4,5,c,Translation:  Ernie Colón a Dan Miškin patří mezi tvůrce komické postavy Bolta.,,,,,
,,,Lexicalisation: The comic book character Bolt was created by both Dan Mishkin and Ernie Colon.,,,,,
4,4,c,"Translation:  Komiksovou postavu Bolta vytvořili jak Dan Miškin, tak Ernie Colon.",,,,,
,,,RDF triples:  ['United_States | leader | Barack_Obama'],,,,,
,,,Lexicalisation: Barack Obama is a leader of the United States.,,,,,
5,5,a,Translation:  Barack Obama je vůdce Spojených států.,,,,,
,,,Lexicalisation: Barack Obama is the leader of the United States.,,,,,
5,5,a,Translation:  Barack Obama je vůdcem Spojených států.,,,,,
,,,Lexicalisation: Barack Obama is the leader of United States.,,,,,
5,5,a,Translation:  Barack Obama je vůdcem Spojených států.,,,,,
,,,"RDF triples:  ['AIDS_(journal) | academicDiscipline | HIV', 'AIDS_(journal) | issnNumber | ""1473-5571""']",,,,,
,,,Lexicalisation: AIDS journal has the ISSN number 1473-5571 and comes under the academic discipline HIV.,,,,,
5,5,a,Translation:  Časopis AIDS má číslo ISSN 1473-5571 a spadá pod akademickou disciplínu HIV.,,,,,
,,,"Lexicalisation: With an ISSN number of 1473-5571, AIDS journal comes under the academic discipline HIV.",,,,,
5,4,c,Translation:  S číslem ISSN 1473-5571 spadá časopis o AIDS pod akademickou disciplínu HIV.,,,,,
,,,Lexicalisation: The academic discipline of AIDS journal (which has the ISSN number 1473-5571) is HIV.,,,,,
5,5,a,Translation:  Akademickou disciplínou časopisu AIDS (který má číslo ISSN 1473-5571) je HIV.,,,,,
,,,"RDF triples:  ['GMA_New_Media | location | Quezon_City', 'Quezon_City | areaTotal | 165.33']",,,,,
,,,"Lexicalisation: GMA New Media is located in Quezon City, which has a total area of 165.33.",,,,,
5,5,a,"Translation:  GMA New Media sídlí v Quezon City, jehož celková plocha činí 165,33.",,,,,
,,,Lexicalisation: Quezon City has a total area of 165.33. GMA New Media headquarters are located in Quezon City.,,,,,
5,5,a,"Translation:  Quezon City má celkovou plochu 165,33. Sídlo GMA New Media se nachází v Quezon City.",,,,,
,,,"Lexicalisation: GMA New Media is located in the city of Quezon, which has a total area of 165.33.",,,,,
5,5,a,"Translation:  GMA New Media sídlí ve městě Quezon, které má celkovou plochu 165,33.",,,,,
,,,"RDF triples:  ['Abdul_Taib_Mahmud | party | ""Barisan Ra\'ayat Jati Sarawak""']",,,,,
,,,"Lexicalisation: Abdul Taib Mahmud is a member of the ""Barisan Ra'ayat Jati Sarawak"" party.",,,,,
5,5,a,"Translation:  Abdul Taib Mahmud je členem strany ""Barisan Ra'ayat Jati Sarawak"".",,,,,
,,,Lexicalisation: Abdul Taib Mahmud is a member of Barisan Ra'ayat Jati Sarawak party.,,,,,
5,3,c,Translation:  Abdul Taib Mahmud je členem skupiny Barisan Ra'ayat Jati Sarawak.,,,,,
,,,"RDF triples:  ['Abradab | genre | Hip_hop_music', 'Hip_hop_music | stylisticOrigin | Funk', 'Abradab | background | ""solo_singer""', 'Hip_hop_music | derivative | Drum_and_bass', 'Hip_hop_music | stylisticOrigin | Disco']",,,,,
,,,"Lexicalisation: Abradab performs hip hop music and has a background as a solo singer. Hip Hop music has origins in Funk and Disco, and Drum and bass derives its sounds from hip hop music.",,,,,
5,4,c,Translation:  Abradab hraje hip hop a má zázemí jako sólový zpěvák. Hip Hop má původ ve Funk a Discu a Drum and bass odvozuje své zvuky od hip hopu.,,,,,
,,,Lexicalisation: Abradab is a hip hop musician with a background as a solo singer. Hip hop originates from funk and disco and was derived into drum and bass music.,,,,,
5,3,c,Translation:  Abradab je hip hopový hudebník s pozadím sólového zpěváka. Hip hop pochází z funku a disco a byl odvozen do drum and bass music.,,,,,
,,,Lexicalisation: Abradab is a Hip hop singer. Hip hop gives itself to Drum and Bass with its own origins in Funk and disco.,,,,,
5,3,c,Translation:  Abradab je hiphopový zpěvák. Hip hop se oddává Drum and Bass se svým vlastním původem ve Funku a disco.,,,,,
,,,"RDF triples:  ['Trane | foundationPlace | La_Crosse,_Wisconsin']",,,,,
,,,"Lexicalisation: The foundation place of Trane is La Crosse, Wisconsin.",,,,,
5,3,c,Translation:  Základním místem Trane je La Crosse ve Wisconsinu.,,,,,
