,engine,adequacy,fluency,rdf,lex,translation
12,google translate,5.0,5.0,,Italy is the country Amatriciana sauce comes from and is where the Italian language is spoken.,"Itálie je země, ze které pochází omáčka Amatriciana a kde se mluví italsky."
13,google translate,5.0,4.0,,Italy where Italian is spoken is also where amatriciana sauce originated.,"Itálie, kde se mluví italsky, je také místem, kde pochází omáčka amatriciana."
14,google translate,5.0,5.0,,Italian is the language spoken in Italy where Amatriciana sauce is a traditional sauce.,"Italština je jazyk, kterým se mluví v Itálii, kde je omáčka Amatriciana tradiční omáčkou."
15,google translate,5.0,4.0,,"The tenant of the AC Hotel Bella Sky Copenhagen is the Marriott International Hotel whose headquarters are in Bethesda, Maryland.","Nájemcem AC Hotel Bella Sky Copenhagen je Marriott International Hotel, jehož sídlo je v Bethesdě, Maryland."
16,google translate,5.0,4.0,,"The tenant of the AC Hotel Bella Sky Copenhagen is Marriott International, the company that is located in Bethesda, Maryland.","Nájemcem AC Hotel Bella Sky Copenhagen je Marriott International, společnost se sídlem v Bethesdě, Maryland."
17,google translate,5.0,4.0,,The tenant of the AC Hotel Bella Sky Copenhagen is the Marriott International Hotel which has its office at Bethesda Maryland.,"Nájemcem AC Hotel Bella Sky Copenhagen je Marriott International Hotel, který má svou kancelář v Bethesda Maryland."
18,google translate,5.0,5.0,,William Anders served as Chief of the Astronaut Office in 1976 and had a title as the United States Ambassador to Norway.,William Anders sloužil jako vedoucí úřadu astronautů v roce 1976 a měl titul velvyslance Spojených států v Norsku.
19,google translate,5.0,4.0,,William Anders time as Chief of the Astronaut Office in 1976 has prepared him well for his new position as United States Ambassador to Norway.,Čas Williama Anderse jako vedoucího úřadu astronautů v roce 1976 ho dobře připravil na jeho novou pozici velvyslance Spojených států v Norsku.
20,google translate,5.0,5.0,,"The United States Ambassador to Norway, William Anders, served as Chief of the Astronaut Office in 1976.","Velvyslanec Spojených států v Norsku, William Anders, sloužil jako vedoucí kanceláře astronautů v roce 1976."
21,google translate,5.0,3.0,,French Guiana is the location of the Guiana Space Centre.,Francouzská Guyana je umístěním Guyanského vesmírného centra.
22,google translate,5.0,5.0,,The Guiana Space Centre is located in French Guiana.,Guyanské vesmírné středisko se nachází ve Francouzské Guyaně.
23,google translate,5.0,5.0,,"The dish Arem arem originates from Indonesia, more specifically Java. Indonesia's leader's name is Joko Widodo. and the currency is the rupiah. The language is Indonesian.","Pokrm Arem arem pochází z Indonésie, konkrétněji z Jávy. Indonéský vůdce se jmenuje Joko Widodo. a měnou je rupie. Jazykem je indonéština."
24,google translate,5.0,3.0,,"The dish arem arem is found nationwide in Indonesia, but is more specific to Java. In Indonesia, the currency is called the Indonesian rupiah, the language spoken is Indonesian and a leader is Joko Widodo.","Pokrm arem arem se vyskytuje celostátně v Indonésii, ale je specifičtější pro Jávu. V Indonésii se měna nazývá indonéská rupie, mluví se zde indonéštinou a vůdcem je Joko Widodo."
25,google translate,4.0,3.0,,"Arem-arem, is predominant in Indonesia's Java. Indonesia is led by Joko Widodo, hails the currency rupiah and the Indonesian language is spoken.","Arem-arem, je převládající v indonéské Jávě. Indonésii vede Joko Widodo, hlásá měna rupie a mluví se zde indonéským jazykem."
26,google translate,5.0,5.0,,AmeriGas works in the country of the United States.,AmeriGas působí v zemi Spojených států amerických.
27,google translate,5.0,5.0,,AmeriGas's home country is the United States.,Domovskou zemí AmeriGas jsou Spojené státy americké.
28,google translate,4.0,4.0,,AmeriGas is working in the United States.,AmeriGas pracuje ve Spojených státech.
29,google translate,5.0,5.0,,AmeriGas is located in the country of the United States.,AmeriGas se nachází v zemi Spojené státy americké.
30,google translate,5.0,5.0,,"Appletone International Airport, which serves the city of Appleton, is found in Greenville, Wisconsin in the U.S.A. Greenville is part of the town of Menasha and Ellington.","Mezinárodní letiště Appletone, které obsluhuje město Appleton, se nachází v Greenville, Wisconsin v USA. Greenville je součástí města Menasha a Ellington."
31,google translate,5.0,3.0,,"The Appleton International Airport is located in Greenville, Wisconsin, United States and serves the city of Appleton, Wisconsin. Greenville is part of the town of Menasha and Ellington, Wisconsin.","Mezinárodní letiště Appleton se nachází v Greenville, Wisconsin, Spojené státy americké a obsluhuje město Appleton, Wisconsin. Greenville je součástí města Menasha a Ellington, Wisconsin."
32,google translate,5.0,4.0,,"The bacon sandwich comes from the United Kingdom. Its main ingredients are bread and bacon and a condiment, often ketchup or brown sauce. It is known by several different names including: Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm and bacon muffin. The BLT is a variant of the bacon sandwich.","Sendvič se slaninou pochází ze Spojeného království. Jeho hlavní ingredience jsou chléb a slanina a koření, často kečup nebo hnědá omáčka. Je známý pod několika různými názvy, včetně: Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm a slaninový muffin. BLT je varianta sendviče se slaninou."
33,google translate,5.0,4.0,,"Bacon sandwiches (made with bread) are popular in the UK where it is also known as a bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, or bacon muffin. Variations on the sandwich include the BLT and it can be served with ketchup or brown sauce as a condiment.","Slaninové sendviče (vyrobené s chlebem) jsou oblíbené ve Spojeném království, kde jsou také známé jako bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm nebo bacon muffin. Variace na sendvič zahrnují BLT a lze jej podávat s kečupem nebo hnědou omáčkou jako koření."
34,google translate,5.0,5.0,,Aaron Boogaard was born on 11/08/1986 in Saskatchewan and played for the Wichita Thunder club.,Aaron Boogaard se narodil 11.8.1986 v Saskatchewanu a hrál za klub Wichita Thunder.
35,google translate,5.0,5.0,,"Aaron Boogaard, who plays for Wichita Thunder, was born in Saskatchewan on August 11th 1986.","Aaron Boogaard, který hraje za Wichita Thunder, se narodil v Saskatchewanu 11. srpna 1986."
36,google translate,5.0,5.0,,Aaron Boogaard was born in Saskatchewan on August 11th 1986. His club is Wichita Thunder.,Aaron Boogaard se narodil v Saskatchewanu 11. srpna 1986. Jeho klubem je Wichita Thunder.
37,google translate,5.0,4.0,,"Anderson, Indiana is led by the Democratic Party of the US.","Anderson, Indiana je vedena Demokratickou stranou USA."
38,google translate,5.0,5.0,,"Chinabank, with net income of 15,100,000,000, employs 5594 workers to provide banking services at 295 banking centers.","Chinabank s čistým příjmem 15 100 000 000 zaměstnává 5 594 pracovníků, kteří poskytují bankovní služby ve 295 bankovních centrech."
39,google translate,5.0,5.0,,Chinabank now has 295 banks with 5594 employees earning them a net income of 15100000000.,"Chinabank má nyní 295 bank s 5594 zaměstnanci, kteří jim vydělávají čistý příjem 15100000000."
40,google translate,4.0,4.5,,"Chinabank offers banking service at its 295 locations boasting 5594 employees and total net income of 15,100,000,000.",Chinabank nabízí bankovní služby na svých 295 místech s 5594 zaměstnanci a celkovým čistým příjmem 15 100 000 000.
41,google translate,5.0,5.0,,"One of the ethnic groups in the United States are the African Americans. The US is where you will find Angola, part of Steuben County in Indiana.","Jednou z etnických skupin ve Spojených státech jsou Afroameričané. V USA najdete Angolu, část okresu Steuben v Indianě."
42,google translate,5.0,3.0,,"Angola is in Steuben County, Indiana, United States and the African americans are an ethnic group of the country.","Angola je v Steuben County, Indiana, Spojené státy americké a afroameričané jsou etnickou skupinou země."
43,google translate,5.0,5.0,,"Angola, Indiana is part of Steuben County in the U.S. and one of the country's ethnic groups are African Americans.","Angola, Indiana je součástí okresu Steuben v USA a jednou z etnických skupin země jsou Afroameričané."
44,google translate,5.0,5.0,,Country music originated from blues music.,Country hudba vznikla z bluesové hudby.
45,google translate,5.0,5.0,,The stylistic origin of country music is blues.,Stylovým původem country hudby je blues.
46,google translate,5.0,5.0,,The singer Andra is associated with the band CRBL.,Zpěvačka Andra je spojena s kapelou CRBL.
47,google translate,5.0,5.0,,"Monroe Township, Madison County, Indiana is in the U.S.","Monroe Township, Madison County, Indiana je v USA"
48,google translate,5.0,5.0,,"Monroe Township, Madison County, Indiana is situated within the United States.","Monroe Township, Madison County, Indiana se nachází ve Spojených státech."
49,google translate,5.0,5.0,,The singer Andra's genre is rhythm and blues which has funk as a derivative.,"Žánrem zpěvačky Andry je rhythm and blues, jehož derivátem je funk."
50,google translate,5.0,5.0,,"Andra sings rhythm and blues, of which funk is a derivative.","Andra zpívá rhythm and blues, z něhož je odvozený funk."
51,google translate,3.0,3.0,,"Andra is a rhythm and blues artist, which is derived from Funk.","Andra je rhythm and bluesový umělec, což je odvozeno od Funka."
52,google translate,5.0,5.0,,Alex Tyus plays for Pallacanestro Cantu in the Turkish Basketball Super League.,Alex Tyus hraje za Pallacanestro Cantu v turecké basketbalové superlize.
53,google translate,5.0,5.0,,Alex Tyus plays with the club Pallacanestro Cantù in the Turkish Basketball Super League.,Alex Tyus hraje s klubem Pallacanestro Cantù v turecké basketbalové superlize.
54,google translate,5.0,4.0,,"Written in English, Above the Veil followed the book Aenir which has the ISBN number 0-439-17684-0.","Above the Veil, napsané v angličtině, následovalo knihu Aenir, která má číslo ISBN 0-439-17684-0."
55,google translate,5.0,5.0,,"Aenir has the ISBN number 0-439-17684-0. It was followed up by Above the Veil, which is written in English.",Aenir má číslo ISBN 0-439-17684-0. Na ni navázal anglicky psaný Above the Veil.
56,google translate,5.0,5.0,,"Aenir has a ISBN number of 0-439-17684-0 and is a prequel to the English book ""Above the Veil"".",Aenir má číslo ISBN 0-439-17684-0 a je prequelem k anglické knize „Above the Veil“.
57,google translate,5.0,4.0,,"The Colombian dish, Bandeja paisa, is from the Antioquia Department region, and includes avocado which is part of the Lauraceae family.","Kolumbijské jídlo Bandeja paisa pochází z oblasti departementu Antioquia a zahrnuje avokádo, které je součástí čeledi Lauraceae."
58,google translate,5.0,4.0,,"Avocado, part of the Lauraceae family, is one of the ingredients of Bandeja paisa, a typical Colombian dish from the Antioquia Department region.","Avokádo, součást čeledi Lauraceae, je jednou ze složek Bandeja paisa, typického kolumbijského pokrmu z oblasti departementu Antioquia."
59,google translate,5.0,5.0,,"Bandeja paisa is a dish from the Antioquia Department region of Colombia. Avocado, which is part of the Lauraceae family, is one of the ingredients.","Bandeja paisa je pokrm z oblasti departementu Antioquia v Kolumbii. Jednou ze složek je avokádo, které patří do čeledi Lauraceae."
60,google translate,3.0,3.0,,Alfredo Zitarrosa is signed with the record label Odeon Records.,Alfredo Zitarrosa je podepsán s nahrávací společností Odeon Records.
61,google translate,5.0,5.0,,Alfredo Zitarrosa was signed to Odeon Records.,Alfredo Zitarrosa podepsal smlouvu s Odeon Records.
62,google translate,5.0,5.0,,Alfredo Zitarrosa's recording label is Odeon Records.,Nahrávací společností Alfreda Zitarrosy je Odeon Records.
63,google translate,5.0,5.0,,"The College of William and Mary own Alan B Miller Hall which was completed on 1 June 2009 at 101 Ukrop Way, Virginia.","College of William and Mary vlastní Alan B Miller Hall, která byla dokončena 1. června 2009 na 101 Ukrop Way ve Virginii."
64,google translate,5.0,4.0,,"Alan B. Miller Hall, completed on 1st June 2009, is owned by The College of William and Mary and is situated in 101 Ukrop Way, Virginia.","Alan B. Miller Hall, dokončený 1. června 2009, je ve vlastnictví The College of William and Mary a nachází se na 101 Ukrop Way ve Virginii."
65,google translate,5.0,3.0,,"The College of William and Mary own Alan B. Miller Hall. Alan B. Miller Hall is situated at 101 Ukrop Way, Virginia and it was completed on the 1st June, 2009.",Vysoká škola Williama a Marie vlastní chodbu Alana B. Millera. Alan B. Miller Hall se nachází na 101 Ukrop Way ve Virginii a byl dokončen 1. června 2009.
66,google translate,5.0,5.0,,"The United States Air Force, who operated Al Asad airbase, deploy the aircraft fighter known as General Dynamics F-16 Fighting Falcon.","Letectvo Spojených států, které provozovalo leteckou základnu Al Asad, nasadilo stíhací letoun známý jako General Dynamics F-16 Fighting Falcon."
67,google translate,5.0,5.0,,Al Asad Airbase is operated by the United States Air Force which also uses the General Dynamics F-16 Fighting Falcon aircraft.,"Leteckou základnu Al Asad provozuje letectvo Spojených států, které také používá letoun General Dynamics F-16 Fighting Falcon."
68,google translate,5.0,4.0,,The General Dynamics F-16 Fighting Falcon is an aircraft fighter in the United States Air Force who are the operating organisation for Al Asad airbase.,"General Dynamics F-16 Fighting Falcon je stíhací letoun v letectvu Spojených států, které je provozní organizací pro leteckou základnu Al Asad."
69,google translate,5.0,5.0,,"Halton Arp was a doctoral student of Walter Baade, the discoverer of 1036 Ganymed. Baade was a German national who was born in Preussisch Oldendorf and graduated from University of Gottingen.","Halton Arp byl doktorandem Waltera Baadeho, objevitele 1036 Ganymed. Baade byl německý státní příslušník, který se narodil v Preussisch Oldendorf a vystudoval univerzitu v Göttingenu."
70,google translate,5.0,5.0,,"Halton Arp was a doctoral student of Walter Baade, the discoverer of 1036 Ganymed. Baade was a German national born in Preussisch Oldendorf who studied at the University of Gottingen.","Halton Arp byl doktorandem Waltera Baadeho, objevitele 1036 Ganymed. Baade byl německý státní příslušník narozený v Preussisch Oldendorf, který studoval na univerzitě v Göttingenu."
71,google translate,5.0,5.0,,"Halton Arp was a doctoral student of Walter Baade, who discovered 1036 Ganymed. Walter Baade, a German national, was born in Preußisch Oldendorf and his alma mater was the University of Gottingen.","Halton Arp byl doktorandem Waltera Baadeho, který objevil 1036 Ganymed. Walter Baade, německý státní příslušník, se narodil v Preußisch Oldendorf a jeho alma mater byla univerzita v Göttingenu."
72,google translate,5.0,5.0,,The full name of AFC Ajax (amateurs) is Amsterdamsche Football Club Ajax Amateurs and their nickname is Lucky Ajax. They played in the Topklasse in the 2014-2015 season and have 5000 Members.,Celý název AFC Ajax (amatéři) je Amsterdamsche Football Club Ajax Amateurs a jejich přezdívka je Lucky Ajax. Hráli v Topklasse v sezóně 2014-2015 a mají 5000 členů.
73,google translate,3.0,3.0,,"The nickname of AFC Ajax (amateurs), or ""Amsterdamsche Football Club Ajax Amateurs"", is Lucky Ajax. AFC Ajax (amateurs) played in the 2014-15 Topklasse season and have 5000 members.",Přezdívka AFC Ajax (amatéři) nebo „Amsterdamsche Football Club Ajax Amateurs“ je Lucky Ajax. AFC Ajax (amatéři) hrál v sezóně 2014-15 Topklasse a má 5000 členů.
74,google translate,5.0,5.0,,"Aleksandr Chumakov passed away in Moscow where the leader is Sergey Sobyanin. Chumakov was a member of the Soviet Union national football team and also played for FC Torpedo Moscow under the manager, Valery Petrakov.","Aleksandr Chumakov zemřel v Moskvě, kde je vůdcem Sergej Sobyanin. Čumakov byl členem fotbalového národního týmu Sovětského svazu a také hrál za FC Torpedo Moskva pod manažerem Valerym Petrakovem."
75,google translate,5.0,5.0,,"Valery Petrakov is the manager of FC Torpedo Moscow, the club Aleksandr Chumakov once played for. Aleksandr Chumakov's played for the Soviet Union national football team. He died in Moscow, the leader of which, is Sergey Sobyanin.","Valerij Petrakov je manažerem FC Torpedo Moskva, klubu, za který Aleksandr Chumakov kdysi hrál. Aleksandr Chumakov hrál za národní fotbalový tým Sovětského svazu. Zemřel v Moskvě, jejímž vůdcem je Sergej Sobyanin."
76,google translate,5.0,5.0,,"Aleksandr Chumakov who plays for the Soviet Union National football team, died in Moscow where the leader is Sergey Sobyanin. He has also played for FC torpedo Moscow who are managed by Valery Petrakov.","Aleksandr Chumakov, který hraje za národní fotbalový tým Sovětského svazu, zemřel v Moskvě, kde je vůdcem Sergej Sobyanin. Hrál také za FC torpédo Moskva, které řídí Valerij Petrakov."
77,google translate,5.0,4.0,,"William Anders was born in British Hong Kong on October 17th, 1933 and in 1963 after a stint as a fighter pilot, NASA picked him to be part of the space program.",William Anders se narodil v britském Hong Kongu 17. října 1933 a v roce 1963 ho NASA po působení jako stíhací pilot vybrala jako součást vesmírného programu.
78,google translate,5.0,5.0,,William Anders was born in British Hong Kong on 1933.10.17. He served as a fighter pilot prior to being selected by NASA in 1963.,"William Anders se narodil v britském Hong Kongu 17.10.1933. Než byl v roce 1963 vybrán NASA, sloužil jako stíhací pilot."
79,google translate,5.0,5.0,,"Alexandria is part of Madison County, located in the state of Indiana, whose capital is Indianapolis.","Alexandrie je součástí Madison County, který se nachází ve státě Indiana, jehož hlavním městem je Indianapolis."
80,google translate,5.0,5.0,,Alexandria is part of Madison County in Indiana where the capital city is Indianapolis.,"Alexandrie je součástí Madison County v Indianě, kde je hlavním městem Indianapolis."
81,google translate,5.0,5.0,,Alexandria is part of Madison County in Indiana where the state capital is Indianapolis.,"Alexandrie je součástí Madison County v Indianě, kde je hlavním městem státu Indianapolis."
82,google translate,5.0,5.0,,Alfredo Zitarrosa was born in Uruguay where the leader is Raul Fernando Sendic Rodriguez.,"Alfredo Zitarrosa se narodil v Uruguayi, kde je vůdcem Raul Fernando Sendic Rodriguez."
83,google translate,5.0,5.0,,"Alfredo Zitarrosa's birth place was Uruguay, where the leader is, Raul Fernando Sendic Rodriguez.","Alfredo Zitarrosa se narodil v Uruguayi, kde je lídrem Raul Fernando Sendic Rodriguez."
84,google translate,5.0,5.0,,"Alfredo Zitarrosa was born in Uruguay, a country led by Raul Fernando Sendic Rodriguez.","Alfredo Zitarrosa se narodil v Uruguayi, zemi vedené Raulem Fernandem Sendicem Rodriguezem."
85,google translate,5.0,5.0,,"Cake is served as a dessert, as is bionico, which contains the ingredient of sour cream.","Dort se podává jako dezert, stejně jako bionico, které obsahuje složku zakysané smetany."
86,google translate,5.0,4.0,,Cake is a variation of dessert such as Bionico which has sour cream as an ingredient.,"Dort je variací dezertu, jako je Bionico, který má jako přísadu zakysanou smetanu."
87,google translate,5.0,5.0,,Bionico is a dessert (as is cake) that includes sour cream.,"Bionico je dezert (stejně jako dort), který obsahuje zakysanou smetanu."
88,google translate,5.0,5.0,,"AmeriGas is a company that works in the United States, a country which is governed by federalism. AmeriGas has a work force of 8,500 employees, and produces a net income of 211200000.","AmeriGas je společnost působící ve Spojených státech amerických, v zemi, která se řídí federalismem. AmeriGas má 8 500 zaměstnanců a vytváří čistý příjem 2 112 000 000."
89,google translate,5.0,5.0,,"The American AmeriGas company generates a net income of $211,200,000. It employs 8500 people. The US has a federalism form of government.",Americká společnost AmeriGas generuje čistý příjem 211 200 000 USD. Zaměstnává 8500 lidí. USA mají federalistickou formu vlády.
90,google translate,5.0,5.0,,"AmeriGas is a company that operates in the United States, a Federalism government type of country, that employs 8500 employees with a net income of 211200000.","AmeriGas je společnost, která působí ve Spojených státech, zemi typu federální vlády, která zaměstnává 8500 zaměstnanců s čistým příjmem 211200000."
91,google translate,5.0,3.0,,"Asam pedas is a food found in Malaysia, a country that has Malay people as an ethnic group.","Asam pedas je jídlo nalezené v Malajsii, zemi, kde jsou Malajci jako etnická skupina."
92,google translate,5.0,3.0,,Asam pedas is a food found in Malaysia where the Malay are an ethnic group.,"Asam pedas je jídlo nalezené v Malajsii, kde jsou Malajci etnickou skupinou."
93,google translate,3.0,3.0,,Malaysian Malay is an ethnic group in Malaysia and Asam pedas is a food that can be found there.,"Malajská malajština je etnická skupina v Malajsii a asam pedas je jídlo, které tam lze nalézt."
94,google translate,5.0,5.0,,The fourth runway at Schiphol Airport in Amsterdam is made of asphalt.,Čtvrtá dráha na letišti Schiphol v Amsterdamu je asfaltová.
95,google translate,5.0,5.0,,The 4th runway at Amsterdam Airport Schiphol has a surface of asphalt.,4. dráha na amsterdamském letišti Schiphol má asfaltový povrch.
96,google translate,5.0,5.0,,"The United States, led by the President of the United States, is the origin of the ALV X-1. The United States capital is Washington, D.C., and the national anthem is the Star-Spangled Banner. Native Americans is one of the ethnic groups in the US.",Původem ALV X-1 jsou Spojené státy v čele s prezidentem Spojených států. Hlavním městem Spojených států je Washington D.C. a státní hymnou je Star-Spangled Banner. Domorodí Američané jsou jednou z etnických skupin v USA.
97,google translate,5.0,5.0,,"ALV X-1 originated in the United States wher the leader is the President, the capital is Washington D.C. and the Star Spangled Banner is the national anthem. Native Americans are an ethnic group in the U.S.","ALV X-1 vznikl ve Spojených státech, kde je vůdcem prezident, hlavním městem je Washington D.C. a Star Spangled Banner je národní hymnou. Domorodí Američané jsou etnickou skupinou v USA."
98,google translate,5.0,5.0,,"The country of origin of the ALV X-1 is the United States, where the leader is the President and Native Americans are an ethnic group. The capital of the United States is Washington, D.C, and the national anthem is the Star Spangled Banner.","Země původu ALV X-1 jsou Spojené státy americké, kde je vůdcem prezident a indiáni jsou etnickou skupinou. Hlavním městem Spojených států je Washington, DC a státní hymnou je Star Spangled Banner."
99,google translate,5.0,4.0,,"In 1928 the School of Business and Social Sciences at the Aarhus University in Denmark was established. The current Dean is Thomas Pallesen and there are 16000 students and 737 academic staff. It is affiliated with the European University Association and has the latin name of ""Universitas Aarhusiensis"".",V roce 1928 byla založena School of Business and Social Sciences na Aarhus University v Dánsku. Současným děkanem je Thomas Pallesen a má 16 000 studentů a 737 akademických pracovníků. Je přidružena k Evropské univerzitní asociaci a má latinský název „Universitas Aarhusiensis“.
100,google translate,5.0,3.0,,"The School of Business and Social Sciences at the Aarhus University is located in Denmark and it was established in 1928. It has 737 academic staff and 16,000 students. Its dean is Thomas Pallesen and its Latin name is ""Universitas Aarhusiensis"". The School is a member of the European University Association.",School of Business and Social Sciences na Aarhus University se nachází v Dánsku a byla založena v roce 1928. Má 737 akademických pracovníků a 16 000 studentů. Jeho děkanem je Thomas Pallesen a jeho latinský název je „Universitas Aarhusiensis“. Škola je členem Evropské univerzitní asociace.
101,google translate,5.0,4.0,,"The School of Business and Social Sciences at the Aarhus University in Denmark was established in 1928 and is affiliated with the European University Association. Its dean is Thomas Pallesen, it has 16,000 students and 737 employees. Its Latin name is Universitas Aarhusiensis.","School of Business and Social Sciences na Aarhus University v Dánsku byla založena v roce 1928 a je přidružena k Evropské univerzitní asociaci. Jejím děkanem je Thomas Pallesen, má 16 000 studentů a 737 zaměstnanců. Jeho latinský název je Universitas Aarhusiensis."
102,cubbitt,5.0,5.0,,"Albert Jennings Fountain was born in New York City and died in Dona Ana County, New Mexico. He had fought in the American Civil War, during which, Jefferson Davis was a commander.","Albert Jennings Fountain se narodil v New Yorku a zemřel v okrese Dona Ana v Novém Mexiku. Bojoval v americké občanské válce, během níž byl Jefferson Davis velitelem."
103,cubbitt,5.0,5.0,,"New York City was the birthplace of Albert Jennings Fountain and he passed away in Dona Ana County, New Mexico. He fought in the American Civil War and one commander in that war was Jefferson Davis.",New York City bylo rodištěm Alberta Jenningse Fountaina a zemřel v Dona Ana County v Novém Mexiku. Bojoval v Americké občanské válce a jedním velitelem v této válce byl Jefferson Davis.
104,cubbitt,5.0,5.0,,"Albert Jennings Fountain was born in New York City and died in Dona Ana County, New Mexico. He fought in the American Civil War where one of the commanders was Jefferson Davis.","Albert Jennings Fountain se narodil v New Yorku a zemřel v okrese Dona Ana v Novém Mexiku. Bojoval v americké občanské válce, kde byl jedním z velitelů Jefferson Davis."
105,cubbitt,4.0,3.0,,An ingredient of a bacon explosion is sausage.,Složkou výbuchu slaniny je klobása.
106,cubbitt,1.0,1.0,,Sausage in an ingredient in bacon explosion.,Klobása v ingredienci při výbuchu slaniny.
107,cubbitt,5.0,5.0,,Sausage is an ingredient of a Bacon Explosion.,Klobása je ingrediencí Bacon Explosion.
108,cubbitt,5.0,5.0,,Alex Day became active in music in 2006.,Alex Day se začal aktivně věnovat hudbě v roce 2006.
109,cubbitt,5.0,5.0,,Alex Day started performing in 2006.,Alex Day začala vystupovat v roce 2006.
110,cubbitt,5.0,5.0,,Alex Day's active years in music began in 2006.,Aktivní hudební kariéra Alexe Daye začala v roce 2006.
111,cubbitt,3.0,3.0,,"The Derbyshire Dales dish of Bakewell pudding is a dessert of ground almond, jam, butter and eggs that is delicious either hot or cold.","Derbyshire Dales jídlo Bakewell pudink je dezert z mleté mandle, džem, máslo a vejce, která je vynikající buď teplé nebo studené."
112,cubbitt,5.0,5.0,,"Bakewell pudding is a dessert from the Derbyshire Dales region that can be served warm (freshly baked) or cold. It contains ground almond, jam, butter and eggs as its main ingredients.","Bakewell pudink je dezert z oblasti Derbyshire Dales, který se může podávat teplý (čerstvě upečený) nebo studený. Jeho hlavními ingrediencemi jsou mleté mandle, džem, máslo a vejce."
113,cubbitt,5.0,4.0,,"Bakewell pudding originates from the Derbyshire Dales and is a dessert you can eat warm (freshly baked) or cold. The ingredients include ground almond, jam, butter and eggs.","Bakewell pudink pochází z Derbyshire Dales a je dezert, který můžete jíst teplý (čerstvě upečený) nebo studený. Složky zahrnují mleté mandle, džem, máslo a vejce."
114,cubbitt,1.0,1.0,,Italy is the country Amatriciana sauce comes from and is where the Italian language is spoken.,"Itálie je země Amatriciana omáčka pochází z a je místo, kde se mluví italsky."
115,cubbitt,5.0,5.0,,Italy where Italian is spoken is also where amatriciana sauce originated.,"Itálie, kde se mluví italsky, je také místem, kde vznikla omáčka amatriciana."
116,cubbitt,5.0,4.0,,Italian is the language spoken in Italy where Amatriciana sauce is a traditional sauce.,"Italština je jazyk, kterým se mluví v Itálii, kde je omáčka Amatriciana tradiční omáčkou."
117,cubbitt,5.0,5.0,,"The tenant of the AC Hotel Bella Sky Copenhagen is the Marriott International Hotel whose headquarters are in Bethesda, Maryland.","Nájemcem AC Hotelu Bella Sky Copenhagen je Marriott International Hotel, jehož sídlo se nachází v Bethesdě ve státě Maryland."
